1,"Vajilla de barro artesanal","Conjunto de vajilla artesanal pintada a mano","Familia Bernabe","../Imagenes/VajillaColorida.png","Vajilla de Barro",200,"México"
2,"Alebrije Colorido","Escultura de alebrije tallada en madera y pintada a mano","Artesano2","url_imagen_2.jpg","Alebrije Colorido",150,"México"
3,"Talavera Mexicana","Piezas de cerámica de talavera con diseños tradicionales","Artesano3","url_imagen_3.jpg","Talavera Mexicana",80,"México"
4,"Figuras de Hojalata","Figuras decorativas de hojalata pintadas a mano","Artesano4","url_imagen_4.jpg","Figuras de Hojalata",154,"México"
5,"Máscaras de Madera","Máscaras tradicionales de madera talladas a mano","Artesano5","url_imagen_5.jpg","Máscaras de Madera",184,"México"
6,"Juguetes de Madera","Juguetes tradicionales de madera hechos a mano","Artesano6","url_imagen_6.jpg","Juguetes de Madera",84,"México"
7,"Cerámica de Mata Ortiz","Cerámica de Mata Ortiz elaborada por artistas locales","Artesano7","url_imagen_7.jpg","Cerámica de Mata Ortiz",99,"México"
8,"Artesanía en Vidrio Soplado","Piezas de vidrio soplado con diseños únicos","Artesano8","url_imagen_8.jpg","Vidrio Soplado",258,"México"
9,"Vajilla de Cerámica","Conjunto de vajilla de cerámica pintada a mano","Artesano9","url_imagen_9.jpg","Vajilla de Cerámica",291,"México"
10,"Arte Huichol","Arte Huichol con chaquiras y diseños coloridos","Artesano10","url_imagen_10.jpg","Arte Huichol",129,"México"
11,"Esculturas en Cantera","Esculturas talladas en cantera con motivos mexicanos","Artesano11","url_imagen_11.jpg","Esculturas en Cantera",299,"México"
12,"Alebrijes de Arrazola","Alebrijes hechos en Arrazola con detalles intrincados","Artesano12","url_imagen_12.jpg","Alebrijes de Arrazola",140,"México"
13,"Vajilla de barro artesanal","Vajilla artesanal a mano","Artesano13","url_imagen_13.jpg","Vajilla artesanal",200,"México"
14,"Cestería de Oaxaca","Cestería elaborada con técnicas tradicionales de Oaxaca","Artesano14","url_imagen_14.jpg","Cestería de Oaxaca",205,"México"
15,"Arte en Barro Negro","Piezas de arte en barro negro de San Bartolo Coyotepec","Artesano15","url_imagen_15.jpg","Barro Negro",102,"México"
16,"Tazas de Alebrijes","Tazas de cerámica con diseños de alebrijes","Artesano16","url_imagen_16.jpg","Tazas de Alebrijes",133,"México"
17,"Artesanía en Plata","Joyas y objetos de plata elaborados artesanalmente","Artesano17","url_imagen_17.jpg","Artesanía en Plata",280,"México"
18,"Cerámica de Metepec","Cerámica de Metepec con diseños tradicionales y coloridos","Artesano18","url_imagen_18.jpg","Cerámica de Metepec",165,"México"
19,"Cerámica de Oaxaca","Cerámica tradicional de Oaxaca con motivos autóctonos","Artesano19","url_imagen_19.jpg","Cerámica de Oaxaca",113,"México"
20,"Arte en Mimbre","Arte en mimbre con diseños autóctonos y formas únicas","Artesano20","url_imagen_20.jpg","Arte en Mimbre",141,"México"
21,"Alebrijes de Xochimilco","Alebrijes hechos en Xochimilco con colores llamativos","Artesano21","url_imagen_21.jpg","Alebrijes de Xochimilco",290,"México"
22,"Tazas de Alebrijes","Tazas de cerámica con diseños de alebrijes","Artesano22","url_imagen_22.jpg","Tazas de Alebrijes",141,"México"
23,"Tazas de Alebrijes","Tazas de cerámica con diseños de alebrijes","Artesano23","url_imagen_23.jpg","Tazas de Alebrijes",290,"México"
24,"Tazas de Alebrijes","Tazas de cerámica con diseños de alebrijes","Artesano24","url_imagen_24.jpg","Tazas de Alebrijes",296,"México"
25,"Tazas de Alebrijes","Tazas de cerámica con diseños de alebrijes","Artesano25","url_imagen_25.jpg","Tazas de Alebrijes",298,"México"
